Neighbourhood,Median Household Income Before Taxes,"Population, 2016"
Agincourt/Malvern,68108,96664
Alderwood,83249,12054
Banbury-Don Mills/York Mills,90620,38133
Bathurst Manor,69634,36961
Bay Street Corridor,48737,43466
Bayview Village,67355,25797
Bayview Woods-Steeles/Hillcrest Village,74082,21396
Bedford Park-Nortown,116672,30088
Bendale,60292,23236
Birchcliffe-Cliffside,73216,29960
Black Creek,51999,22291
Briar Hill-Belgravia,60899,21737
Broadview North,52731,14257
Brookhaven-Amesbury,52988,11499
Cabbagetown-South St.James Town,61184,17757
Caledonia-Fairbank,66048,11669
Casa Loma,93022,31165
Church-Yonge Corridor,56366,10968
Clairlea-Birchmount,68524,31340
Clanton Park,69997,26984
Cliffcrest,75291,16472
Danforth Village-East York,81253,15935
Don Valley Village,65714,76346
Dorset Park,57986,27051
Dovercourt/Davenport/Junction,65167,25003
Downsview-Roding-CFB,56053,65124
Dufferin Grove/Little Portugal,63479,65543
Edenbridge-Humber Valley,84113,41170
Eglinton East,53081,28897
Elms-Old Rexdale,59576,22776
Englemount-Lawrence,58003,9456
Eringate-Centennial-West Deane,88872,22372
Markland Wood,72429,30436
Flemingdon Park,48917,43041
Forest Hill North,70920,12806
Forest Hill South,119484,10732
Guildwood,87538,9917
Henry Farm,56644,15723
High Park North,73547,22162
High Park-Swansea,82753,23925
Humber Heights-Westmount,68996,10948
Humewood-Cedarvale,61110,14365
Ionview,53177,29324
Islington-City Centre West,69274,43965
Keelesdale-Eglinton West,57780,11058
Kennedy Park,51028,17123
Kensington-Chinatown,44216,17945
Kingsview Village-The Westway,60824,22000
Kingsway South,151552,9271
Runnymede-Bloor West Village,93586,111006
L'Amoreaux/Steeles/Milliken,62871,16164
Lansing-Westgate,80384,14607
Lawrence Park North,144963,15179
Lawrence Park South,151885,16828
Leaside-Bennington,126930,10084
Trinity-Bellwoods,71812,10111
Long Branch,61536,10554
Maple Leaf,62976,33964
Mimico,67525,29949
Morningside,52721,31309
Moss Park/Regent Park,49252,13593
Mount Dennis,52162,32954
Mount Olive-Silverstone-Jamestown,57414,16775
Mount Pleasant East,93566,11463
New Toronto,50891,18615
North St.James Town,41016,18675
O'Connor-Parkview,59729,17180
Old East York,77824,34805
Parkwoods-Donalda,65126,10529
Rexdale-Kipling,63232,39792
Riverdale,77819,22246
Rockcliffe-Smythe,54908,14974
Roncesvalles,63130,20923
Rosedale-Moore Park,106194,46496
Rouge,101482,18055
Rustic/Pelmo Park/Humberlea,55839,20663
Scarborough Village,49568,16724
South Parkdale/King West,63425,53029
St.Andrew-Windfields,98420,17812
Stonegate-Queensway,85138,25051
Tam O'Shanter-Sullivan,58246,27446
The Beaches,100365,21567
Annex,67995,16556
Victoria Village,51867,17510
Waterfront Communities-The Island,78479,65913
West Hill,56051,27392
West Humber-Clairville,70741,71633
Westminster-Branson,54101,26274
Weston,45696,29090
Wexford/Maryvale,62837,27917
Willowdale East,61725,66531
Willowdale West,56942,40767
Willowridge-Martingrove-Richview,71584,22156
Woburn,58921,53485
Woodbine Corridor,72792,12541
Woodbine-Lumsden,74608,7865
Wychwood,66089,14349
Yonge-Eglinton,80896,11817
Yonge-St.Clair,80136,12528
Yorkdale-Glen Park,63778,14804
